,Income,Balance,Debt,Score,Default,term_labels
150,17900.0,1050.0,260.0,163.0,0,1
151,20200.0,1210.0,318.0,317.0,0,1
152,22200.0,1130.0,990.0,141.0,0,1
153,18300.0,1240.0,0.0,260.0,1,1
154,17600.0,1260.0,1910.0,44.0,1,1
155,20600.0,690.0,0.0,174.0,0,1
156,18500.0,1030.0,0.0,300.0,0,1
157,24600.0,1020.0,0.0,552.0,0,1
158,21500.0,590.0,1811.0,156.0,1,1
159,20700.0,1070.0,2713.0,12.0,1,1
160,20400.0,710.0,1022.0,246.0,0,0
161,21300.0,860.0,1347.0,120.0,0,0
163,14600.0,860.0,536.0,204.0,0,1
164,23800.0,610.0,0.0,222.0,0,1
165,19300.0,1060.0,225.0,317.0,0,0
166,15200.0,1020.0,0.0,288.0,0,1
167,19100.0,1490.0,0.0,174.0,0,1
168,17500.0,1170.0,971.0,131.0,0,1
169,18600.0,890.0,0.0,291.0,1,1
170,18800.0,1020.0,0.0,432.0,0,0
171,21600.0,780.0,922.0,295.0,0,1
172,21700.0,1080.0,297.0,473.0,0,1
173,20800.0,1310.0,0.0,381.0,0,1
174,23300.0,1190.0,628.0,375.0,0,0
175,15100.0,980.0,0.0,279.0,0,1
176,17300.0,540.0,2130.0,4.0,1,1
177,17900.0,830.0,2272.0,5.0,1,1
178,25500.0,690.0,374.0,415.0,0,0
179,19900.0,1070.0,185.0,219.0,0,0
180,19000.0,1480.0,560.0,141.0,0,0
181,16100.0,940.0,0.0,353.0,0,0
182,24000.0,1040.0,0.0,508.0,0,1
183,20300.0,540.0,0.0,389.0,0,1
184,18200.0,1370.0,0.0,390.0,0,1
185,15900.0,1240.0,400.0,223.0,0,0
186,20100.0,650.0,0.0,216.0,0,0
187,19500.0,1440.0,0.0,452.0,0,1
188,19200.0,480.0,0.0,298.0,0,0
189,20300.0,1170.0,306.0,404.0,0,1
190,21400.0,800.0,0.0,252.0,0,1
191,18900.0,1100.0,565.0,120.0,0,1
192,20400.0,1080.0,0.0,370.0,0,1
193,20900.0,1210.0,1582.0,270.0,1,1
194,18500.0,890.0,0.0,143.0,0,1
195,19000.0,830.0,684.0,198.0,0,1
196,25200.0,690.0,0.0,481.0,0,1
197,16300.0,1090.0,0.0,323.0,0,1
198,19400.0,790.0,822.0,193.0,0,1
199,20800.0,1070.0,730.0,255.0,0,1
200,16200.0,830.0,0.0,240.0,0,1
201,16900.0,1030.0,1045.0,218.0,0,1
202,17200.0,570.0,0.0,114.0,0,1
203,18000.0,900.0,135.0,259.0,0,1
204,17000.0,980.0,906.0,108.0,0,0
205,19600.0,1110.0,2408.0,51.0,1,1
206,24100.0,740.0,629.0,290.0,0,0
207,21600.0,1350.0,1422.0,196.0,0,1
208,19500.0,1000.0,0.0,448.0,0,1
209,19300.0,600.0,96.0,388.0,0,0
210,18000.0,990.0,502.0,252.0,0,1
211,22000.0,1430.0,0.0,301.0,0,1
212,22400.0,890.0,1044.0,242.0,0,1
213,22600.0,1030.0,0.0,498.0,0,1
214,15700.0,1180.0,1347.0,85.0,1,1
215,22700.0,840.0,384.0,293.0,0,1
216,18100.0,620.0,1236.0,118.0,0,1
217,22800.0,870.0,0.0,306.0,0,0
218,20300.0,1090.0,701.0,321.0,0,0
219,20200.0,650.0,1378.0,220.0,0,1
220,20200.0,990.0,0.0,349.0,0,1
222,17700.0,930.0,920.0,142.0,0,0
223,19700.0,1080.0,21.0,445.0,0,1
224,21400.0,660.0,716.0,24.0,0,0
225,18400.0,1160.0,0.0,377.0,0,1
226,19000.0,640.0,153.0,125.0,0,1
227,19100.0,840.0,728.0,235.0,0,1
228,21100.0,870.0,513.0,259.0,0,1
229,17900.0,580.0,0.0,151.0,0,1
230,21500.0,720.0,0.0,212.0,0,0
231,18900.0,920.0,0.0,171.0,1,1
232,21900.0,1050.0,1322.0,223.0,0,1
233,21600.0,820.0,98.0,281.0,0,1
234,23000.0,830.0,244.0,242.0,0,1
235,19900.0,1560.0,0.0,273.0,1,0
236,20600.0,1160.0,0.0,458.0,0,1
237,21800.0,1010.0,0.0,537.0,0,1
238,20600.0,930.0,0.0,482.0,1,1
239,20600.0,1250.0,0.0,374.0,0,1
240,16000.0,820.0,932.0,119.0,0,1
241,17900.0,1190.0,203.0,387.0,0,1
242,21500.0,810.0,1752.0,138.0,1,1
243,21400.0,750.0,644.0,448.0,0,0
244,17300.0,930.0,0.0,228.0,0,1
245,18600.0,1240.0,508.0,271.0,0,1
246,17300.0,950.0,366.0,277.0,0,1
247,18800.0,700.0,0.0,288.0,0,1
248,17400.0,840.0,0.0,298.0,0,0
249,16500.0,610.0,751.0,192.0,0,0
250,15100.0,1010.0,1085.0,149.0,1,0
251,19500.0,830.0,36.0,361.0,0,1
252,23800.0,1130.0,0.0,581.0,0,0
253,16300.0,1090.0,1147.0,120.0,0,1
254,24700.0,1470.0,0.0,299.0,0,1
255,22900.0,1080.0,0.0,539.0,0,1
256,17700.0,1140.0,229.0,154.0,0,1
257,17200.0,1100.0,0.0,149.0,0,1
258,21800.0,1110.0,0.0,437.0,0,1
259,22400.0,730.0,0.0,439.0,0,1
260,20600.0,470.0,0.0,146.0,0,1
261,18100.0,1020.0,782.0,230.0,0,1
262,22300.0,1220.0,155.0,361.0,0,1
263,18700.0,1000.0,553.0,242.0,0,1
264,19600.0,1130.0,1447.0,192.0,1,1
265,20700.0,1130.0,0.0,287.0,0,1
266,20800.0,660.0,0.0,367.0,0,0
267,20800.0,930.0,617.0,376.0,0,1
268,22000.0,1170.0,0.0,398.0,0,1
269,19800.0,1080.0,15.0,297.0,0,1
270,19300.0,910.0,0.0,219.0,0,1
271,19500.0,1200.0,0.0,343.0,0,1
272,17300.0,1470.0,0.0,310.0,0,0
273,20700.0,1440.0,1144.0,214.0,0,0
274,22900.0,980.0,0.0,468.0,0,0
275,20500.0,1300.0,0.0,250.0,0,0
276,19800.0,1420.0,1254.0,217.0,0,1
277,24800.0,1170.0,547.0,0.0,1,0
278,20600.0,750.0,0.0,255.0,0,1
279,20000.0,860.0,776.0,332.0,0,0
280,21700.0,1110.0,109.0,333.0,0,1
281,19400.0,770.0,0.0,313.0,0,1
282,18000.0,1130.0,0.0,320.0,0,1
283,19500.0,1360.0,367.0,233.0,0,1
284,17000.0,670.0,308.0,161.0,0,0
285,18700.0,990.0,159.0,182.0,0,1
286,21300.0,630.0,988.0,290.0,0,1
287,21000.0,990.0,0.0,488.0,0,1
288,21000.0,920.0,2048.0,132.0,1,1
289,24700.0,840.0,0.0,281.0,0,1
290,19900.0,1080.0,0.0,255.0,0,1
291,22200.0,1080.0,0.0,466.0,0,0
292,21500.0,1240.0,0.0,338.0,0,1
293,17000.0,970.0,759.0,228.0,0,1
294,19200.0,1010.0,1276.0,160.0,0,1
295,20000.0,1270.0,0.0,309.0,0,1
296,22900.0,810.0,839.0,222.0,0,1
297,20500.0,1380.0,1361.0,86.0,0,1
298,18500.0,1040.0,0.0,246.0,0,0
299,18100.0,1180.0,0.0,407.0,1,0
300,21400.0,1120.0,0.0,380.0,0,1
301,20100.0,1220.0,832.0,223.0,0,1
302,20400.0,1000.0,0.0,279.0,0,1
303,24300.0,1080.0,372.0,279.0,0,1
304,22300.0,1120.0,0.0,243.0,0,1
305,23100.0,620.0,0.0,427.0,0,1
306,19600.0,1050.0,559.0,270.0,0,1
307,20900.0,660.0,778.0,259.0,0,1
308,21500.0,1210.0,0.0,439.0,0,1
309,18300.0,1000.0,0.0,398.0,0,1
310,17100.0,1240.0,467.0,226.0,0,0
311,16500.0,530.0,0.0,273.0,0,1
312,19900.0,920.0,0.0,398.0,0,0
313,19100.0,850.0,203.0,220.0,0,0
314,18300.0,530.0,0.0,295.0,0,1
315,17600.0,710.0,155.0,108.0,0,1
316,16600.0,1130.0,0.0,316.0,0,1
317,19900.0,1380.0,0.0,472.0,0,0
318,23300.0,1070.0,523.0,437.0,0,0
319,18200.0,1500.0,0.0,316.0,0,1
320,22800.0,850.0,0.0,468.0,0,1
321,22800.0,1640.0,0.0,432.0,0,0
322,18900.0,830.0,1520.0,84.0,1,1
323,16700.0,610.0,0.0,201.0,0,1
324,23300.0,790.0,1021.0,266.0,0,1
325,22500.0,900.0,769.0,278.0,0,1
326,23100.0,760.0,431.0,307.0,0,1
327,18100.0,1300.0,588.0,231.0,0,0
328,19500.0,1390.0,0.0,414.0,0,1
329,20600.0,540.0,725.0,303.0,0,1
330,22200.0,640.0,0.0,513.0,0,1
331,22100.0,1080.0,96.0,379.0,0,1
332,20600.0,1230.0,732.0,212.0,0,1
333,22400.0,1200.0,0.0,277.0,0,1
334,18600.0,770.0,0.0,272.0,0,1
335,17100.0,1170.0,415.0,191.0,0,1
336,21100.0,1000.0,157.0,443.0,0,1
337,17400.0,790.0,304.0,319.0,0,1
339,17400.0,1130.0,1451.0,56.0,1,1
340,23300.0,1270.0,759.0,399.0,0,0
341,18000.0,620.0,0.0,271.0,0,0
342,19700.0,620.0,0.0,321.0,0,1
343,21600.0,940.0,0.0,546.0,1,1
344,18200.0,940.0,0.0,292.0,0,0
345,24700.0,1120.0,656.0,366.0,0,1
346,21900.0,750.0,0.0,335.0,0,1
347,21900.0,1080.0,0.0,483.0,0,1
348,21200.0,640.0,1060.0,275.0,1,1
349,17300.0,920.0,1410.0,87.0,1,0
350,16300.0,570.0,0.0,357.0,0,1
351,17800.0,1210.0,0.0,206.0,0,0
352,23600.0,1130.0,1660.0,164.0,0,1
353,20900.0,1130.0,0.0,407.0,0,1
354,18900.0,1200.0,0.0,301.0,0,1
355,19200.0,760.0,826.0,180.0,0,1
356,18500.0,940.0,1064.0,129.0,0,1
358,16400.0,1030.0,916.0,78.0,0,1
359,21200.0,920.0,458.0,268.0,0,1
360,19400.0,1520.0,0.0,414.0,0,1
362,25300.0,1060.0,0.0,235.0,0,1
363,21300.0,540.0,0.0,443.0,0,1
364,24400.0,900.0,0.0,458.0,0,1
365,17200.0,750.0,0.0,202.0,0,1
366,20900.0,1050.0,0.0,341.0,0,1
367,17000.0,760.0,1105.0,129.0,0,1
368,20600.0,750.0,0.0,434.0,0,0
369,19400.0,870.0,1093.0,104.0,0,1
370,20000.0,1230.0,518.0,131.0,0,1
371,20100.0,1360.0,1250.0,140.0,0,1
372,14300.0,1190.0,87.0,63.0,0,1
373,16700.0,860.0,186.0,423.0,0,1
374,23000.0,890.0,1659.0,199.0,1,1
375,20800.0,1220.0,0.0,372.0,0,1
376,20400.0,1220.0,0.0,538.0,0,0
377,19300.0,1260.0,686.0,240.0,0,1
378,20400.0,1010.0,1184.0,286.0,0,1
379,19500.0,1290.0,0.0,201.0,0,1
380,17400.0,1090.0,957.0,167.0,0,1
381,18100.0,1070.0,0.0,214.0,0,1
382,19200.0,1110.0,716.0,234.0,0,1
384,19300.0,990.0,456.0,378.0,0,1
385,19300.0,630.0,847.0,115.0,0,1
386,19100.0,1290.0,0.0,162.0,0,1
387,14600.0,1470.0,1345.0,97.0,1,1
389,21700.0,900.0,0.0,180.0,0,0
390,17500.0,640.0,418.0,303.0,1,1
391,22300.0,880.0,0.0,376.0,0,1
392,22800.0,830.0,0.0,411.0,0,1
393,18900.0,1120.0,790.0,218.0,0,0
394,22400.0,720.0,524.0,320.0,0,1
395,22800.0,1640.0,1944.0,121.0,1,1
396,17900.0,1190.0,0.0,291.0,0,0
397,20600.0,550.0,0.0,344.0,0,1
398,23800.0,1050.0,1057.0,107.0,1,1
399,18200.0,880.0,0.0,134.0,0,1
400,20400.0,1160.0,0.0,272.0,1,0
401,20800.0,1010.0,594.0,350.0,0,0
402,24200.0,1130.0,1571.0,220.0,0,0
403,24600.0,1300.0,0.0,303.0,0,1
404,20800.0,780.0,1.0,243.0,0,1
405,18800.0,930.0,0.0,238.0,0,1
406,21900.0,1360.0,0.0,490.0,0,0
407,20500.0,940.0,0.0,340.0,0,1
408,21600.0,900.0,147.0,323.0,0,1
409,25700.0,1110.0,964.0,330.0,0,0
410,17700.0,1180.0,0.0,351.0,0,0
411,19100.0,1480.0,532.0,259.0,0,1
412,22900.0,1290.0,789.0,305.0,0,1
413,20700.0,860.0,461.0,237.0,0,1
414,22900.0,1410.0,0.0,485.0,0,1
415,20400.0,1230.0,308.0,238.0,0,0
416,17700.0,710.0,0.0,187.0,0,1
417,17200.0,1160.0,0.0,274.0,0,1
418,20200.0,1430.0,18.0,321.0,0,1
419,13800.0,1040.0,0.0,180.0,0,1
420,22900.0,1280.0,0.0,450.0,0,1
421,17300.0,720.0,0.0,193.0,0,1
422,25000.0,1100.0,1570.0,201.0,0,1
423,21900.0,790.0,0.0,476.0,0,1
424,21000.0,530.0,0.0,384.0,1,1
425,19600.0,640.0,0.0,295.0,0,1
426,19300.0,1420.0,0.0,312.0,0,1
427,22200.0,940.0,53.0,502.0,0,1
428,16700.0,1230.0,0.0,207.0,0,1
429,21300.0,1020.0,2156.0,83.0,1,0
430,23400.0,980.0,1455.0,249.0,0,0
431,20800.0,960.0,0.0,261.0,0,1
432,20000.0,740.0,0.0,244.0,0,1
433,20000.0,910.0,1221.0,265.0,0,1
434,22700.0,1130.0,0.0,279.0,0,0
435,20400.0,950.0,0.0,268.0,0,1
436,23800.0,1610.0,0.0,241.0,0,1
437,19300.0,1270.0,1210.0,240.0,0,1
438,20900.0,950.0,0.0,230.0,0,1
439,17000.0,1060.0,696.0,125.0,0,1
440,19100.0,1410.0,0.0,348.0,0,1
441,23000.0,1110.0,0.0,478.0,0,1
442,21500.0,1080.0,0.0,296.0,0,1
443,21100.0,610.0,0.0,196.0,1,0
444,13700.0,1130.0,381.0,179.0,0,1
445,15100.0,390.0,617.0,152.0,0,1
446,18900.0,870.0,0.0,253.0,0,0
447,19700.0,890.0,0.0,342.0,0,1
448,20400.0,970.0,905.0,183.0,0,1
449,21000.0,1140.0,1781.0,169.0,1,1
450,17400.0,1040.0,853.0,127.0,0,1
451,17600.0,850.0,1780.0,44.0,1,0
452,23400.0,1270.0,70.0,271.0,0,1
453,20700.0,1650.0,0.0,533.0,0,1
454,20600.0,880.0,1556.0,175.0,1,0
455,18300.0,830.0,0.0,285.0,0,1
456,20700.0,780.0,0.0,431.0,0,0
457,18600.0,890.0,1096.0,132.0,0,1
458,21400.0,1150.0,0.0,162.0,0,1
459,21700.0,800.0,0.0,324.0,0,1
460,19400.0,910.0,0.0,307.0,0,1
461,16700.0,690.0,0.0,122.0,0,1
462,20800.0,1150.0,0.0,345.0,0,1
463,23400.0,1050.0,0.0,115.0,1,1
464,21700.0,620.0,965.0,186.0,0,1
465,21000.0,1310.0,0.0,462.0,0,0
466,14400.0,1150.0,279.0,309.0,0,1
467,19900.0,1100.0,0.0,236.0,0,1
468,20300.0,940.0,0.0,133.0,0,1
469,22000.0,930.0,0.0,248.0,0,1
470,18600.0,1280.0,0.0,394.0,0,1
471,21000.0,1450.0,780.0,161.0,0,1
472,19000.0,680.0,0.0,282.0,0,0
473,23600.0,1390.0,1652.0,174.0,0,1
474,19900.0,490.0,332.0,378.0,0,1
475,18900.0,830.0,0.0,161.0,0,1
476,17300.0,1090.0,271.0,302.0,0,1
477,21600.0,870.0,0.0,368.0,0,1
478,22900.0,1190.0,14.0,267.0,0,0
479,22200.0,1460.0,0.0,156.0,0,1
480,21900.0,1090.0,982.0,283.0,0,1
481,18000.0,1400.0,78.0,159.0,0,1
482,21500.0,640.0,3470.0,0.0,1,1
484,20500.0,1230.0,493.0,349.0,0,1
485,20600.0,830.0,0.0,273.0,0,1
486,18700.0,1190.0,0.0,474.0,0,1
487,17300.0,1020.0,0.0,401.0,0,1
488,23900.0,860.0,168.0,409.0,0,1
489,18700.0,910.0,496.0,201.0,0,1
490,17000.0,360.0,1537.0,49.0,1,1
491,21200.0,360.0,575.0,250.0,0,1
492,20200.0,1130.0,1434.0,71.0,1,1
493,19900.0,1110.0,2193.0,75.0,1,1
494,24000.0,720.0,223.0,459.0,0,1
495,21900.0,1330.0,1515.0,72.0,0,0
496,19200.0,710.0,0.0,204.0,0,1
497,20100.0,1050.0,0.0,353.0,0,1
498,16100.0,1070.0,76.0,218.0,0,0
499,21300.0,1070.0,0.0,191.0,0,1
500,45000.0,1450.0,0.0,1000.0,0,0
501,44800.0,910.0,929.0,764.0,0,0
502,47900.0,1040.0,218.0,829.0,0,0
503,35500.0,1240.0,0.0,818.0,0,0
504,40300.0,1380.0,1753.0,595.0,0,1
505,44400.0,1270.0,738.0,1000.0,0,1
506,42300.0,500.0,2784.0,400.0,0,1
507,41900.0,720.0,1225.0,834.0,0,1
508,37900.0,1530.0,0.0,595.0,0,1
509,44200.0,1190.0,65.0,838.0,1,1
510,45500.0,890.0,0.0,766.0,0,0
511,43200.0,1250.0,1352.0,524.0,0,0
512,40400.0,1040.0,436.0,727.0,0,1
513,41800.0,1390.0,4296.0,157.0,1,1
514,29400.0,1460.0,0.0,603.0,0,1
515,32800.0,1160.0,0.0,885.0,0,1
516,51000.0,1210.0,0.0,858.0,0,1
517,34900.0,1120.0,1557.0,524.0,0,1
518,33800.0,1140.0,22.0,437.0,0,0
519,38300.0,1410.0,0.0,879.0,0,0
520,43500.0,1330.0,1440.0,398.0,0,1
521,35700.0,1570.0,0.0,609.0,1,0
522,36200.0,1650.0,685.0,528.0,0,1
523,44100.0,1490.0,0.0,883.0,0,0
524,44000.0,1320.0,632.0,556.0,0,0
525,39100.0,1410.0,0.0,734.0,0,0
526,38700.0,1420.0,551.0,636.0,1,0
527,33800.0,1590.0,0.0,672.0,0,0
528,40000.0,1570.0,923.0,736.0,0,1
529,37900.0,1810.0,0.0,573.0,0,1
530,36700.0,1700.0,2882.0,352.0,1,0
531,37800.0,1070.0,0.0,741.0,0,0
532,35500.0,1820.0,0.0,698.0,0,0
533,45700.0,1110.0,0.0,886.0,0,1
534,32800.0,780.0,0.0,378.0,0,0
536,37400.0,530.0,0.0,524.0,0,0
537,48400.0,1620.0,579.0,732.0,0,1
538,33000.0,1710.0,0.0,648.0,0,1
539,33700.0,1240.0,980.0,758.0,0,1
540,35000.0,1720.0,0.0,482.0,0,1
541,32800.0,970.0,0.0,460.0,0,0
542,50700.0,1790.0,1499.0,1000.0,0,0
543,43600.0,760.0,983.0,812.0,0,1
544,39600.0,910.0,1052.0,525.0,0,1
545,42600.0,1210.0,0.0,788.0,0,1
546,39200.0,1270.0,0.0,897.0,0,0
547,38000.0,1480.0,0.0,850.0,0,1
548,32200.0,1090.0,0.0,754.0,0,0
549,33900.0,1010.0,1404.0,456.0,0,1
550,34800.0,1300.0,1209.0,560.0,0,0
551,35200.0,1560.0,1165.0,476.0,0,1
552,36500.0,1700.0,1534.0,561.0,0,1
553,41600.0,1400.0,0.0,618.0,0,1
554,40200.0,1250.0,1008.0,158.0,0,1
555,39000.0,1390.0,0.0,1000.0,0,1
556,47100.0,970.0,1459.0,847.0,0,1
557,41400.0,1210.0,0.0,628.0,0,1
558,42400.0,1290.0,1459.0,544.0,0,0
559,37100.0,1030.0,0.0,661.0,0,0
560,44900.0,1190.0,419.0,761.0,0,1
561,37900.0,1290.0,540.0,934.0,0,1
562,48000.0,1240.0,0.0,722.0,0,1
564,46600.0,1300.0,136.0,847.0,0,0
565,33000.0,1090.0,23.0,682.0,0,1
566,35100.0,1430.0,449.0,602.0,0,1
567,34200.0,1190.0,2759.0,302.0,1,1
568,44700.0,1150.0,253.0,954.0,0,0
569,29500.0,920.0,0.0,675.0,0,1
570,48100.0,1320.0,0.0,577.0,0,0
571,38600.0,1350.0,1010.0,703.0,0,0
572,45500.0,1780.0,0.0,792.0,0,0
573,41700.0,1100.0,3829.0,254.0,1,0
574,37900.0,1350.0,0.0,904.0,0,0
575,42900.0,1410.0,0.0,652.0,0,1
576,32700.0,1120.0,0.0,619.0,0,1
577,37900.0,1570.0,0.0,988.0,0,1
578,42100.0,1290.0,270.0,731.0,0,1
579,43600.0,1120.0,1461.0,1000.0,0,0
580,45300.0,1430.0,422.0,646.0,0,0
581,41900.0,1720.0,1884.0,372.0,0,0
582,42500.0,1020.0,0.0,811.0,0,1
583,34600.0,1160.0,0.0,846.0,1,1
584,43000.0,1060.0,276.0,674.0,0,1
585,46500.0,1140.0,1554.0,634.0,0,1
586,43400.0,1740.0,610.0,742.0,0,0
587,28600.0,860.0,0.0,466.0,0,0
588,38000.0,1000.0,0.0,774.0,0,1
590,38100.0,1230.0,790.0,560.0,1,0
591,41100.0,1540.0,784.0,732.0,0,1
592,34600.0,990.0,2218.0,410.0,0,0
593,45900.0,1750.0,0.0,666.0,0,0
594,37600.0,1150.0,3073.0,254.0,1,0
595,37200.0,1780.0,0.0,780.0,0,0
596,38000.0,1760.0,204.0,889.0,0,1
597,39200.0,1020.0,29.0,654.0,0,1
598,43500.0,1160.0,0.0,931.0,0,1
599,41300.0,1720.0,1022.0,867.0,0,1
600,29000.0,1450.0,0.0,497.0,0,1
601,49200.0,1140.0,1758.0,392.0,0,1
